State,Data Range,DyCPR RMSE (10 trial average),Moving Average RMSE (10 trial average),Higher Accuracy
Alaska,3-168,10.72,12.49,DyCPR
Alabama,2-125,18.86,15.43,Moving Average
Arkansas,11-122,16.6,16.23,Moving Average
Arizona,1-219,25.43,18.45,Moving Average
California,5-116,6.76,8.78,DyCPR
Colorado,4-144,10.3,11.96,DyCPR
Connecticut,0-287,33.83,23.23,Moving Average
Delaware,1-51,5.3,5.01,Moving Average
District of Columbia,2-164,16.71,17.0,DyCPR
Florida,4-98,11.27,9.32,Moving Average
Georgia,7-75,8.85,8.96,DyCPR
Hawaii,0-36,4.59,4.58,Moving Average
Iowa,7-181,20.32,21.33,DyCPR
Idaho,5-172,18.23,17.23,Moving Average
Illinois,5-157,13.58,13.19,Moving Average
Indiana,5-164,10.68,13.04,DyCPR
Kansas,22-341,21.02,28.04,DyCPR
Kentucky,6-163,17.0,14.22,Moving Average
Louisiana,1-150,30.26,23.16,Moving Average
Massachusetts,2-121,9.02,9.43,DyCPR
Maryland,5-81,5.95,6.25,DyCPR
Maine,0-39,3.73,3.54,Moving Average
Michigan,4-222,21.45,17.84,Moving Average
Minnesota,5-209,18.07,17.92,Moving Average
Missouri,1-134,15.18,18.08,DyCPR
Mississippi,6-121,17.59,16.75,Moving Average
Montana,4-196,25.14,22.77,Moving Average
North Carolina,6-98,11.83,10.35,Moving Average
North Dakota,5-401,32.55,33.53,DyCPR
Nebraska,5-236,22.35,21.99,Moving Average
New Hampshire,0-108,8.6,8.37,Moving Average
New Jersey,0-87,7.16,6.83,Moving Average
New Mexico,2-227,13.37,18.27,DyCPR
Nevada,5-134,14.31,13.23,Moving Average
New York,2-74,3.36,4.57,DyCPR
Ohio,6-283,18.74,18.96,DyCPR
Oklahoma,5-209,25.76,19.62,Moving Average
Oregon,3-65,4.99,4.87,Moving Average
Pennsylvania,0-127,7.57,9.93,DyCPR
Rhode Island,2-212,22.97,20.48,Moving Average
South Carolina,7-88,11.63,9.56,Moving Average
South Dakota,3-321,37.47,34.34,Moving Average
Tennessee,12-155,28.26,20.37,Moving Average
Texas,6-83,11.64,12.62,DyCPR
Utah,10-271,30.55,21.44,Moving Average
Virginia,5-66,6.05,6.15,DyCPR
Vermont,0-44,4.1,3.34,Moving Average
Washington,0-117,16.43,13.15,Moving Average
Wisconsin,5-187,20.96,20.33,Moving Average
West Virginia,0-100,9.46,8.17,Moving Average
Wyoming,2-284,53.64,32.92,Moving Average
